headline
$7K worth of Labubu dolls stolen from Los Angeles store
"$7K worth of Labubu dolls stolen from Los Angeles store, authorities say"
$7k worth of Labubus stolen
100 days of Pope Leo XIV: A calm papacy that avoids polemics is coming into focus
100 years of AP All-America football teams: Here’s who we think are the best of the best
102-year-old becomes the oldest person to summit Mount Fuji
10 House Democrats ask NCAA about plans to protect women as ways to pay college athletes increase
"11-year-old boy fatally shot in Houston after ‘ding dong ditch’ doorbell-ringing prank, police say"
"120 land and environmental defenders killed or disappeared in Latin America last year, report finds"
"1.2 million immigrants are gone from the US labor force under Trump, preliminary data shows"
12 movies premiering at the Venice Film Festival to get excited about
160-mile march for democracy arrives in Washington from Philadelphia
16 states sue the Trump administration over threats to pull funding for sex ed on gender diversity
"16-year-old with a loaded gun threatened to shoot up his New York City high school, police say"
1783: Treaty of Paris ends Revolutionary War
1851: First America’s Cup trophy
1862: Lincoln issues preliminary Emancipation Proclamation
1893: Cherokee Strip Land Run
1901: President William McKinley fatally shot
1901: Roosevelt becomes youngest U.S. president
1916: National Park Service created
1920: 19th Amendment gives women the vote
1921: Verdict in “Black Sox” trial
1928: Alexander Fleming discovers penicillin
1934: first prisoners reach Alcatraz
1935: FDR signs Social Security Act
1944: De Gaulle’s victory march through Paris
1945: Japan surrenders to end World War II
1945: The atomic bombing of Hiroshima
1954: Willie Mays makes ‘The Catch’
1957: Military escorts Little Rock Nine into Central High
1961: East Germany closes Berlin border
1963: MLK delivers “I Have a Dream” speech
1967: Marshall joins Supreme Court
1969: Woodstock music festival begins
1970: Farm workers’ “Salad Bowl strike”
1971: Attica prison uprising begins
1973: Billie Jean King wins “Battle of the Sexes”
1974: Twin Tower tightrope walk
"1977, 2018: American music loses two legends"
1991: Clarence Thomas SCOTUS nomination hearings begin
1992: Hurricane Andrew strikes Florida
1993: Rabin and Arafat sign Oslo Accord
1996: Taliban take power in Afghanistan
"1997: Diana, Princess of Wales, dies in Paris crash"
1998: Clinton admits to Lewinsky affair
"1 dead when small plane crashes onto a road in Rochester, New York"
"1 detainee killed and 2 others critically injured in Dallas ICE facility, Homeland Security says"
2001: Al-Qaeda attacks the US
2005: Hurricane Katrina strikes Louisiana
2010: Last U.S. combat troops leave Iraq
2013: Voyager 1 leaves the solar system
2017: Las Vegas music festival shooting
2017: Protesting NFL players take a knee
2017: Total eclipse captivates the U.S.
2018: Nairobi shopping mall attack
2019: Deadly shootings at El Paso Walmart
2020: Derecho rakes the Midwest
2020: Justice Ruth Bader Ginsburg dies
2022: State funeral of Queen Elizabeth II
2025 Emmys: ‘The Pitt’ and ‘The Studio’ win top awards
"2026 World Cup draw will be held at Washington’s Kennedy Center, Trump says"
20 states and DC sue DOJ to stop immigration requirements on victim funds
"20 years after Hurricane Katrina, these then-and-now photos show the power of place"
"20 years after its landmark withdrawal from Gaza, Israel is mired there"
"24 decomposing bodies removed from Colorado funeral home, investigators say"
"2 adults killed, 7 children injured in ATV accident at Alabama off-road park"
"2 civilians indicted for their role in a Pearl Harbor fuel spill that sickened 6,000 people in 2021"
2 Colombian musicians found dead near Mexico City
"2 dead, 3 wounded in shooting in southern West Virginia"
2 firefighters battling Washington state wildfire arrested by Border Patrol
2 found dead along a San Antonio creek after rainstorm
2 Indian soldiers and a suspected militant are killed in a drawn-out gunfight in Kashmir
2 initially detained in Charlie Kirk shooting threatened even after police cleared them
"2 Kentucky deputies shot while serving warrant. Suspect then took his own life, authorities say"
"2 killed, 5 wounded when man opened fire in casino parking lot in Texas, authorities say"
"2 men arrested after incendiary device found under news media vehicle in Utah, authorities say"
2 men sentenced to prison in Zambia for plotting to kill the president with witchcraft
2 more beachfront homes near collapse as Hurricane Erin’s waves pound North Carolina’s Outer Banks
"2 more people charged with helping man accused of killing 4 as he evaded authorities, officials say"
2nd Wyoming airman in a month is accused of manslaughter after a fatal shooting
"2 officers killed and a 3rd is wounded in a Utah shooting, authorities say"
2 South Carolina deputies hurt in training accident by live rounds kept in baggie in desk drawer
2 women die attempting to cross the English Channel from France to the UK
32 bodies found in clandestine graves in central Mexico
"35 Union Pacific train cars derail near Texas town, no injuries reported"
3 African nations have agreed to take deportees from the US. What we know about the secretive deals
3 dead after mob sets fire to Indonesian regional parliament building
3 departing members of Mountain West suing the conference for withholding millions of dollars
3 elves are cycling from the German town of St. Nikolaus to Finland’s Santa Claus Village
3 members of federal control board in Puerto Rico sue Trump and others for illegal firings
3 more GOP governors authorize deployment of National Guard troops as part of Trump show of force
3 NYC corrections officers suspended following death of man incarcerated at Rikers Island
"3 people charged with helping suspected killer of 4 are accused of giving him shelter, phones"
3 people die in overnight Ukrainian drone strikes on Russia
3 police officers killed and 2 injured in rural Pennsylvania shooting
3rd person arrested for allegedly helping a Tennessee fugitive wanted in family’s killings
3 Scottish brothers set a world record for fastest Pacific row
3 Sydney dockworkers charged over massive cocaine shipment
3 Virginia sheriff’s deputies who were injured in gunfire while executing a search warrant are OK
3 women in Gambia are charged in the death of one-month-old in female genital mutilation case
"49ers’ Brock Purdy a ‘long shot’ to play Sunday due to toe injury, could miss multiple weeks"
49ers’ Brock Purdy ‘highly unlikely’ to start Sunday against Cardinals because of toe injury
"4 children, 2 adults killed when fire rips through house in Maryland"
"4 dead after flooding in Arizona, including in historic mining town"
4 former Milwaukee hotel workers get probation and time served in dogpile death
"4 killed when gunmen attack boat off Ecuador, reports say. More than a dozen believed missing"
"4 Palestinians shot dead by Israeli forces while seeking aid near Gaza City, witnesses say"
4 people die in crash of medical transport plane on Navajo Nation in northern Arizona
4th person dies after a Legionnaires’ disease outbreak sickens dozens in New York City
50 Schwarbombs! Phillies slugger Kyle Schwarber becomes 2nd player in team history with 50 homers
5.8 magnitude quake rocks Indonesia’s Sulawesi island
58M pounds of corn dogs and sausage-on-a-stick products recalled because wood pieces may be inside
5 homes collapse into the surf of the Outer Banks as hurricanes rumble in Atlantic
5 key takeaways from RFK Jr.'s contentious Senate hearing
5 new cast members join ‘Saturday Night Live’ after high-profile departures
5 teenagers wounded in El Paso shooting at an apartment complex
"6.1 earthquake hits Turkey’s Balikesir province, killing 1 and collapsing buildings"
6.2-magnitude earthquake hits northwest Venezuela
6 more officers fired over handling of domestic violence-fueled triple homicide in South Florida
6 people are found dead at a Colorado dairy. Authorities suspect an accident involving gas exposure
"780,000 pressure washers are under recall after some consumers report explosions and impact injuries"
79-year-old US citizen injured in Los Angeles immigration raid files $50 million claim
80 years after the atomic bomb: A photo gallery from Hiroshima
"850,000 Syrian refugees have returned home since Assad’s fall, UN says"
"8 decades after atomic bombing in Hiroshima, search for missing continues on nearby island"
8 killed and 50 wounded in Chicago over long weekend as Trump plans federal deployment
9/11 victims’ fund architect slams changes to New Hampshire abuse settlement program
95-year-old former North Korean soldier in South campaigns to be sent to the North
9 people plead not guilty in a Texas elections probe involving ‘vote harvesting’
A $2.5 billion pledge makes women’s health a priority in Gates Foundation spend-down
"A$AP Rocky had no idea Denzel Washington was going to throw Nas at him. Midway through Spike Lee’s “Highest 2 Lowest,” Washington’s wealthy music executive David King has cornered Rocky’s aspiring rapper Yung Felon after he tried to kidnap his son."
A 22-year-old Utah man who was booked on murder charges in the assassination of Charlie Kirk held deep disdain for the conservative activist’s provocative viewpoints and indicated to a family member that he was responsible for the shooting.
A 30-day window to stop the reimposition of United Nations sanctions on Iran is closing. As the U.N.
A 5.9 magnitude quake strikes off Guatemala’s southwest coast. No major damage is reported
A 6.0 magnitude earthquake shakes eastern Afghanistan near the Pakistan border
Aaliyah dies in airplane crash
Aaron Judge hits 361st home run to tie Joe DiMaggio for 4th place in Yankees history
"Aaron Judge hits his 362nd career homer, passing Joe DiMaggio for 4th in New York Yankees history"
Aaron Judge returns to the lineup at DH as the Yankees wait for clarity on his throwing arm
Aaron Judge ties Yogi Berra for fifth on the Yankees’ career homers list
Aaron Judge will rejoin the struggling Yankees on Tuesday after IL stint
Aaron Rodgers looks right at home vs. Jets in Steelers debut with 4 TD passes in win
A Bangkok road collapse creates a sinkhole disrupting traffic and prompting evacuations
A base deep in the Swedish forest is part of Europe’s hope to compete in the space race
ABC ends Jimmy Kimmel’s suspension and his show will return Tuesday
